City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bundaberg,22,AU,1614107869,88,-24.85,152.35,75.99,5.75
Saint Paul Harbor,1,US,1614107869,68,57.79,-152.4072,21.2,5.75
Nikolskoye,90,RU,1614107869,79,59.7035,30.7861,12.2,11.18
Deputatsky,54,RU,1614107870,81,69.3,139.9,-29.4,2.68
Murupara,24,NZ,1614107870,98,-38.4667,176.7,62.01,1.21
Bubaque,0,GW,1614107870,71,11.2833,-15.8333,77.92,16.71
Busselton,0,AU,1614107871,85,-33.65,115.3333,62.01,4.0
Yellowknife,75,CA,1614107650,64,62.456,-114.3525,-11.0,5.75
Mar del Plata,0,AR,1614107871,29,-38.0023,-57.5575,80.6,10.36
Hobart,0,AU,1614107801,81,-42.8794,147.3294,48.0,6.91
Jamestown,90,US,1614107872,93,42.097,-79.2353,36.0,23.02
Jalu,0,LY,1614107872,41,29.0331,21.5482,57.79,6.78
Verkhnetulomskiy,75,RU,1614107872,72,68.6073,31.7962,6.8,6.71
Tuatapere,100,NZ,1614107873,74,-46.1333,167.6833,63.0,1.99
Te Anau,100,NZ,1614107873,91,-45.4167,167.7167,57.11,2.24
Waitakere,71,NZ,1614107873,74,-36.9175,174.6577,69.01,9.78
Saint-Augustin,100,CA,1614107873,97,51.226,-58.6502,24.55,7.81
Vaini,20,TO,1614107874,83,-21.2,-175.2,78.8,6.91
Urucará,4,BR,1614107875,58,-2.5364,-57.76,88.09,6.38
George Town,20,MY,1614107832,78,5.4112,100.3354,80.01,7.9
Arraial do Cabo,0,BR,1614107875,74,-22.9661,-42.0278,87.8,10.36
Butaritari,0,KI,1614107875,77,3.0707,172.7902,81.59,19.93
Severo-Kuril'sk,100,RU,1614107876,93,50.6789,156.125,30.51,38.54
Rikitea,100,PF,1614107876,72,-23.1203,-134.9692,78.75,9.98
Najrān,0,SA,1614107876,33,17.4924,44.1277,71.6,2.8
Saint-Philippe,0,RE,1614107876,69,-21.3585,55.7679,78.8,5.75
New Norfolk,4,AU,1614107877,72,-42.7826,147.0587,48.0,2.66
Arrondissement de Saint-Jean-de-Maurienne,12,FR,1614107877,65,45.1667,6.5833,50.0,4.14
Adzopé,5,CI,1614107877,66,6.1069,-3.8619,80.71,5.53
